[属性描述]
格式版本号=1．01版本
数据产生单位=国土资源部
数据产生日期=2003-11-7
坐标系=54北京坐标系
几度分带=3
投影类型=高斯克吕格
计量单位=米
带号=31
精度=2
转换参数=2210.3,12.65,115,25,420.66,445.69,0.569
[地块坐标]
14,0.018,2003-10,双桥乡地块1,面,I－50-77-（22）,公共基础设施,,@
J01,1,3751508.5,39438683.65
J02,1,3751508.5,39438690.15
J03,1,3751502,39438690.15
J04,1,3751502,39438688.2
J05,1,3751494.5,39438688.2
J06,1,3751494.5,39438660.7
J07,1,3751499,39438660.7
J08,1,3751499,39438683.65
J01,1,3751508.5,39438683.65
J09,2,3755389.7,39437380.2
J10,2,3755389.7,39437410.7
J11,2,3755382.2,39437410.7
J12,2,3755382.2,39437380.2
J09,2,3755389.7,39437380.2
5,0.0247,2003-12,双桥乡地块2,面,I－50-77-（14）,公共基础设施,,@
J01,1,3755389.1,39437380.1
J02,1,3755389.1,39437410.1
J03,1,3755382.1,39437410.1
J04,1,3755382.1,39437380.1
J01,1,3755389.1,39437380.1
